,open,close,high,low,volume,money
2018-08-02,166.48,166.48,166.51,166.38,29285900.0,289325255.0
2018-08-03,166.5,166.55,166.55,166.49,31606300.0,304239513.0
2018-08-06,166.6,166.62,166.62,166.58,19911200.0,195611745.0
2018-08-07,166.64,166.65,166.65,166.63,34545900.0,340437333.0
2018-08-08,166.66,166.63,166.66,166.61,31532400.0,312469191.0
2018-08-09,166.64,166.6,166.65,166.46,20425500.0,199946576.0
2018-08-10,166.62,166.55,166.62,166.47,24784400.0,241498602.0
2018-08-13,166.6,166.53,166.6,166.52,26050400.0,258960963.0
2018-08-14,166.54,166.58,166.58,166.54,18096800.0,175075720.0
2018-08-15,166.6,166.58,166.61,166.54,13568100.0,127613905.0
2018-08-16,166.59,166.55,166.6,166.51,18105600.0,174945128.0
2018-08-17,166.57,166.42,166.58,166.42,23777400.0,224900633.0
2018-08-20,166.47,166.44,166.49,166.39,9928400.0,94143030.0
2018-08-21,166.46,166.47,166.47,166.43,21112500.0,197441776.0
2018-08-22,166.49,166.48,166.5,166.46,16798700.0,158789819.0
2018-08-23,166.5,166.48,166.51,166.47,10221700.0,97964548.0
2018-08-24,166.49,166.53,166.53,166.49,14225900.0,136629910.0
2018-08-27,166.58,166.54,166.58,166.53,8036100.0,75491294.0
2018-08-28,166.56,166.54,166.56,166.54,6702800.0,62394894.0
2018-08-29,166.56,166.56,166.57,166.56,12740800.0,130650985.0
2018-08-30,166.58,166.59,166.6,166.58,14180400.0,140633800.0
2018-08-31,166.61,166.6,166.64,166.59,13684700.0,132519173.0
2018-09-03,166.65,166.62,166.65,166.61,7935200.0,75910984.0
2018-09-04,166.63,166.54,166.64,166.53,17416700.0,168092963.0
2018-09-05,166.55,166.59,166.59,166.55,18252900.0,165887454.0
2018-09-06,166.6,166.58,166.61,166.58,7139900.0,68144085.0
2018-09-07,166.6,166.59,166.6,166.58,11847400.0,108508837.0
2018-09-10,166.64,166.61,166.65,166.59,14205300.0,136711118.0
2018-09-11,166.62,166.62,166.63,166.62,8783100.0,85088142.0
2018-09-12,166.64,166.57,166.64,166.57,11072400.0,106488820.0
2018-09-13,166.59,166.58,166.59,166.57,10570900.0,103050892.0
2018-09-14,166.63,166.68,166.68,166.61,18565700.0,180143517.0
